
15:25:35.601 > 12368,0.7089
15:25:35.652 > 12419,0.7780
15:25:35.703 > 12470,0.7919
15:25:35.754 > 12521,0.7846
15:25:35.805 > 12572,0.7233
15:25:35.856 > 12623,0.4520
15:25:35.907 > 12674,0.0208
15:25:35.958 > 12725,0.1216
15:25:36.009 > 12776,0.6227
15:25:36.060 > 12827,0.7536
15:25:36.111 > 12878,0.7856
15:25:36.162 > 12929,0.7853
15:25:36.213 > 12980,0.7324
15:25:36.264 > 13031,0.4781
15:25:36.315 > 13082,0.0186
15:25:36.366 > 13133,0.0200
15:25:36.417 > 13184,0.5346
15:25:36.468 > 13235,0.7377
15:25:36.519 > 13286,0.7829
15:25:36.570 > 13337,0.7976
15:25:36.621 > 13388,0.7846
15:25:36.672 > 13439,0.6864
15:25:36.723 > 13490,0.1248
15:25:36.774 > 13541,0.0000
15:25:36.825 > 13592,0.0134
15:25:36.876 > 13643,0.5475
15:25:36.927 > 13694,0.7541
15:25:36.978 > 13745,0.7961
15:25:37.029 > 13796,0.7853
15:25:37.080 > 13847,0.7578
15:25:37.131 > 13898,0.4862
15:25:37.182 > 13949,0.0020
15:25:37.233 > 14000,0.0000
15:25:37.284 > 14051,0.1824
15:25:37.335 > 14102,0.7072
15:25:37.386 > 14153,0.7739
15:25:37.437 > 14204,0.7910
15:25:37.488 > 14255,0.7646
15:25:37.539 > 14306,0.6178
15:25:37.590 > 14357,0.0071
15:25:37.641 > 14408,0.0000
15:25:37.693 > 14459,0.0203
15:25:37.743 > 14510,0.6212
15:25:37.794 > 14561,0.7617
15:25:37.845 > 14612,0.7832
15:25:37.896 > 14663,0.7851
15:25:37.947 > 14714,0.7026
15:25:37.998 > 14765,0.2147
15:25:38.049 > 14816,0.0000
15:25:38.100 > 14867,0.0002
15:25:38.151 > 14918,0.4847
15:25:38.202 > 14969,0.7270
15:25:38.253 > 15020,0.7729
15:25:38.304 > 15071,0.7800
15:25:38.355 > 15122,0.7426
15:25:38.406 > 15173,0.5658
15:25:38.457 > 15224,0.0230
15:25:38.508 > 15275,0.0000
15:25:38.559 > 15326,0.0000
15:25:38.610 > 15377,0.0567
15:25:38.661 > 15428,0.6525
15:25:38.712 > 15479,0.7775
15:25:38.763 > 15530,0.7949
15:25:38.814 > 15581,0.7988
15:25:38.865 > 15632,0.7524
15:25:38.916 > 15683,0.5394
15:25:38.967 > 15734,0.0012
15:25:39.018 > 15785,0.0010
15:25:39.069 > 15836,0.0198
15:25:39.120 > 15887,0.6234
15:25:39.171 > 15938,0.7651
15:25:39.222 > 15989,0.7927
15:25:39.273 > 16040,0.7890
15:25:39.324 > 16091,0.7597
15:25:39.375 > 16142,0.5839
15:25:39.426 > 16193,0.0195
15:25:39.477 > 16244,0.0078
15:25:39.528 > 16295,0.0000
15:25:39.579 > 16346,0.5131
15:25:39.630 > 16397,0.7426
15:25:39.681 > 16448,0.7812
15:25:39.732 > 16499,0.7866
15:25:39.783 > 16550,0.7761
15:25:39.834 > 16601,0.6884
15:25:39.885 > 16652,0.2994
15:25:39.936 > 16703,0.0195
